ng,source,type,id,filename,file_path,class,mean_R,mean_G,mean_B,sum_R,sum_G,sum_B,max_R,max_G,max_B,min_R,min_G,min_B,median_R,median_G,median_B,std_HSV,R/G,max_intensity
4.0,Cockroach,ctrl,2,4ng_Cockroach_ctrl_img02.png,resized/4ng_Cockroach_ctrl_img02.png,4,150.32034301757812,153.09185791015625,182.97463989257812,4925697,5016514,5995713,194,203,215,87,82,121,154.0,156.0,188.0,97.46058349301005,0.981896386180766,205
10.0,DerF,test,5,10ng_DerF_test_img05.png,resized/10ng_DerF_test_img05.png,7,172.61691284179688,173.80392456054688,190.105712890625,5656311,5695207,6229384,208,214,219,79,75,111,181.0,182.0,197.0,115.84126056825934,0.9931703917795776,214
6.0,DerF,ctrl,5,6ng_DerF_ctrl_img05.png,resized/6ng_DerF_ctrl_img05.png,5,157.10516357421875,157.67459106445312,180.83810424804688,5148022,5166681,5925703,194,199,211,86,81,113,164.0,164.0,187.0,112.13242844741873,0.9963885843446381,202
1.0,Cockroach,ctrl,3,1ng_Cockroach_ctrl_img03.png,resized/1ng_Cockroach_ctrl_img03.png,2,158.60415649414062,161.17544555664062,187.62582397460938,5197141,5281397,6148123,201,208,216,79,73,113,166.0,170.0,195.0,107.51330670438072,0.9840466391287683,209
1.0,Cockroach,ctrl,2,1ng_Cockroach_ctrl_img02.png,resized/1ng_Cockroach_ctrl_img02.png,2,154.39242553710938,156.31289672851562,187.96560668945312,5059131,5122061,6159257,194,202,219,65,59,106,159.0,160.0,192.0,110.03685911885357,0.9877139236792749,204
10.0,DerF,test,4,10ng_DerF_test_img04.png,resized/10ng_DerF_test_img04.png,7,178.65264892578125,182.74728393554688,192.38717651367188,5854090,5988263,6304143,203,211,211,105,100,121,182.0,188.0,196.0,58.18947425554674,0.9775939981203564,210
40.0,DerP,ctrl,6,40ng_DerP_ctrl_img06.png,resized/40ng_DerP_ctrl_img06.png,10,166.0977783203125,165.91079711914062,187.4990234375,5442692,5436565,6143968,197,200,207,88,89,125,169.0,169.0,190.0,109.91754687957041,1.0011269923554802,201
2.0,DerP,test,7,2ng_DerP_test_img07.png,resized/2ng_DerP_test_img07.png,3,192.73709106445312,199.39553833007812,204.69659423828125,6315609,6533793,6707498,210,218,220,125,127,136,194.0,201.0,207.0,29.331226382711577,0.9666068343956148,218
1.0,Cockroach,ctrl,1,1ng_Cockroach_ctrl_img01.png,resized/1ng_Cockroach_ctrl_img01.png,2,152.96612548828125,154.59051513671875,189.29379272460938,5012394,5065622,6202779,209,220,231,87,84,121,155.0,157.0,193.0,120.65340767785364,0.9894923007631277,221
60.0,DerF,test,4,60ng_DerF_test_img04.png,resized/60ng_DerF_test_img04.png,11,186.45001220703125,190.80972290039062,198.83456420898438,6109594,6252453,6515411,206,214,215,158,156,171,188.0,192.0,200.0,44.6185251194088,0.9771515224473817,212
4.0,Cockroach,test,2,4ng_Cockroach_test_img02.png,resized/4ng_Cockroach_test_img02.png,4,180.244873046875,186.324462890625,199.42050170898438,5906264,6105480,6534611,208,218,223,104,99,126,185.0,192.0,205.0,66.90416938103535,0.96737094680536,218
8.0,Cockroach,test,2,8ng_Cockroach_test_img02.png,resized/8ng_Cockroach_test_img02.png,6,176.1669921875,179.49560546875,197.23431396484375,5772640,5881712,6462974,207,216,221,76,75,104,184.0,187.0,204.0,95.75906520213358,0.9814557339495131,216
0.1,DerF,ctrl,4,0.1ng_DerF_ctrl_img04.png,resized/0.1ng_DerF_ctrl_img04.png,1,176.00689697265625,180.05902099609375,193.43597412109375,5767394,5900174,6338510,202,211,217,97,92,114,181.0,185.0,198.0,74.36287464827932,0.9774955735151921,211
6.0,Cockroach,ctrl,1,6ng_Cockroach_ctrl_img01.png,resized/6ng_Cockroach_ctrl_img01.png,5,153.63986206054688,154.82998657226562,187.99749755859375,5034471,5073469,6160302,204,209,222,79,73,120,158.0,159.0,192.0,119.07382212956844,0.992313339745227,212
4.0,DerF,ctrl,5,4ng_DerF_ctrl_img05.png,resized/4ng_DerF_ctrl_img05.png,4,158.93515014648438,158.56201171875,182.5313720703125,5207987,5195760,5981188,190,192,207,93,89,120,163.0,163.0,187.0,114.0484311915192,1.0023532586483765,196
8.0,DerP,test,7,8ng_DerP_test_img07.png,resized/8ng_DerP_test_img07.png,6,176.588623046875,180.55789184570312,195.19924926757812,5786456,5916521,6396289,201,208,214,107,107,128,181.0,185.0,199.0,69.97154160284265,0.9780166364578696,209
8.0,Cockroach,test,3,8ng_Cockroach_test_img03.png,resized/8ng_Cockroach_test_img03.png,6,174.74661254882812,176.25933837890625,194.32916259765625,5726097,5775666,6367778,201,205,213,60,51,83,181.0,182.0,199.0,104.80485034529323,0.9914176075128354,206
4.0,Cockroach,test,3,4ng_Cockroach_test_img03.png,resized/4ng_Cockroach_test_img03.png,4,165.65176391601562,167.49758911132812,188.56094360351562,5428077,5488561,6178765,193,200,212,87,85,119,171.0,172.0,193.0,104.72959954733291,0.9889799835682074,202
10.0,Cockroach,ctrl,1,10ng_Cockroach_ctrl_img01.png,resized/10ng_Cockroach_ctrl_img01.png,7,160.60748291015625,161.14901733398438,191.07931518554688,5262786,5280531,6261287,203,210,223,77,78,112,165.0,166.0,196.0,117.35927930096176,0.996639536315972,213
10.0,Cockroach,ctrl,3,10ng_Cockroach_ctrl_img03.png,resized/10ng_Cockroach_ctrl_img03.png,7,158.118896484375,158.768310546875,185.84344482421875,5181240,5202520,6089718,187,191,209,95,90,121,161.0,162.0,190.0,109.59981439117259,0.995909668269614,196
1.0,DerF,test,5,1ng_DerF_test_img05.png,resized/1ng_DerF_test_img05.png,2,173.4573974609375,173.30868530273438,191.07443237304688,5683852,5678979,6261127,201,207,215,78,74,108,181.0,180.0,198.0,115.93554785532321,1.000858071002531,208
4.0,Cockroach,test,1,4ng_Cockroach_test_img01.png,resized/4ng_Cockroach_test_img01.png,4,182.52084350585938,185.98416137695312,204.33547973632812,5980843,6094329,6695665,212,221,226,90,88,124,190.0,193.0,211.0,81.73651427342138,0.9813784204696189,221
8.0,Cockroach,test,1,8ng_Cockroach_test_img01.png,resized/8ng_Cockroach_test_img01.png,6,174.96481323242188,177.33758544921875,199.37841796875,5733247,5810998,6533232,215,219,228,82,82,111,181.0,183.0,206.0,102.91444960777962,0.986620020807172,221
0.0,DerP,test,6,0ng_DerP_test_img06.png,resized/0ng_DerP_test_img06.png,0,206.08489990234375,209.10855102539062,210.13958740234375,6752990,6852069,6885854,214,218,219,169,167,173,207.0,211.0,211.0,26.76892124618299,0.9855402751644528,217
6.0,Cockroach,ctrl,2,6ng_Cockroach_ctrl_img02.png,resized/6ng_Cockroach_ctrl_img02.png,5,151.00668334960938,152.75888061523438,183.60763549804688,4948187,5005603,6016455,199,206,218,75,72,106,155.0,157.0,189.0,105.63412342812579,0.988529647198921,209
6.0,Cockroach,ctrl,3,6ng_Cockroach_ctrl_img03.png,resized/6ng_Cockroach_ctrl_img03.png,5,157.01016235351562,158.00381469726562,184.50027465820312,5144909,5177469,6045705,196,202,212,100,98,128,159.0,160.0,187.0,97.01147298069057,0.9937112066606427,204
0.0,DerP,test,7,0ng_DerP_test_img07.png,resized/0ng_DerP_test_img07.png,0,211.32089233398438,219.92190551757812,220.459228515625,6924563,7206401,7224008,216,225,227,199,206,209,212.0,220.0,221.0,7.207210714000812,0.9608905983046928,224
1.0,DerF,test,4,1ng_DerF_test_img04.png,resized/1ng_DerF_test_img04.png,2,197.85986328125,206.6964111328125,208.50564575195312,6483472,6773028,6832313,209,218,219,160,164,168,200.0,209.0,210.0,13.806760213728968,0.9572486587436042,216
10.0,Cockroach,ctrl,2,10ng_Cockroach_ctrl_img02.png,resized/10ng_Cockroach_ctrl_img02.png,7,161.428466796875,163.0701904296875,190.22479248046875,5289688,5343484,6233286,205,212,223,83,75,108,166.0,167.0,195.0,111.1479769582188,0.9899324050679098,214
30.0,DerF,test,4,30ng_DerF_test_img04.png,resized/30ng_DerF_test_img04.png,9,177.32211303710938,182.14715576171875,190.3306884765625,5810491,5968598,6236756,202,210,211,139,139,147,179.0,185.0,193.0,64.9484542585304,0.9735101891767578,209
6.0,DerP,test,7,6ng_DerP_test_img07.png,resized/6ng_DerP_test_img07.png,5,186.93191528320312,193.04971313476562,201.28106689453125,6125385,6325853,6595578,210,218,220,106,106,130,190.0,197.0,204.0,33.54518867909978,0.9683097233322411,218
10.0,DerP,ctrl,7,10ng_DerP_ctrl_img07.png,resized/10ng_DerP_ctrl_img07.png,7,165.51828002929688,165.43682861328125,189.99676513671875,5423703,5421034,6225814,192,194,211,88,84,121,172.0,172.0,196.0,113.28490203924805,1.0004923354503712,199
10.0,DerP,ctrl,6,10ng_DerP_ctrl_img06.png,resized/10ng_DerP_ctrl_img06.png,7,155.50955200195312,152.68255615234375,181.11331176757812,5095737,5003102,5934721,199,199,214,72,67,112,163.0,160.0,186.0,108.84612425851486,1.0185155063049451,203
2.0,DerF,ctrl,5,2ng_DerF_ctrl_img05.png,resized/2ng_DerF_ctrl_img05.png,3,158.42965698242188,157.60845947265625,182.36761474609375,5191423,5164514,5975822,191,192,212,82,80,111,165.0,164.0,188.0,120.82078898993286,1.005210358043616,198
40.0,DerF,test,4,40ng_DerF_test_img04.png,resized/40ng_DerF_test_img04.png,10,183.95904541015625,188.87362670898438,195.99313354492188,6027970,6189011,6422303,202,209,213,148,145,153,189.0,194.0,200.0,61.0120047340578,0.9739795208127178,209
60.0,DerP,ctrl,6,60ng_DerP_ctrl_img06.png,resized/60ng_DerP_ctrl_img06.png,11,165.71542358398438,165.39321899414062,188.94683837890625,5430163,5419605,6191410,191,192,208,88,79,104,168.0,168.0,192.0,107.167831277833,1.0019481063967142,196
0.0,Cockroach,ctrl,3,0ng_Cockroach_ctrl_img03.png,resized/0ng_Cockroach_ctrl_img03.png,0,156.75680541992188,156.97525024414062,187.31243896484375,5136607,5143765,6137854,202,211,218,88,81,115,159.0,159.0,191.0,114.75939659655182,0.9986084059589814,212
0.1,DerP,test,6,0.1ng_DerP_test_img06.png,resized/0.1ng_DerP_test_img06.png,1,206.348876953125,209.75640869140625,210.18121337890625,6761640,6873298,6887218,214,217,219,170,168,173,207.0,211.0,211.0,26.67766478130105,0.98375480995649,217
0.1,Cockroach,ctrl,3,0.1ng_Cockroach_ctrl_img03.png,resized/0.1ng_Cockroach_ctrl_img03.png,1,155.7000732421875,156.96661376953125,185.55108642578125,5101980,5143482,6080138,206,212,217,82,76,106,161.0,163.0,191.0,120.86009415437732,0.9919311407129257,213
2.0,Cockroach,test,1,2ng_Cockroach_test_img01.png,resized/2ng_Cockroach_test_img01.png,3,191.240966796875,196.39578247070312,210.05026245117188,6266584,6435497,6882927,214,224,227,125,123,148,197.0,203.0,215.0,63.774771147420445,0.9737529157564776,223
8.0,DerF,ctrl,5,8ng_DerF_ctrl_img05.png,resized/8ng_DerF_ctrl_img05.png,6,167.15399169921875,166.46163940429688,186.50408935546875,5477302,5454615,6111366,200,204,212,92,80,117,174.0,175.0,193.0,116.16957303455115,1.0041592242707709,206
0.1,Cockroach,ctrl,2,0.1ng_Cockroach_ctrl_img02.png,resized/0.1ng_Cockroach_ctrl_img02.png,1,151.37078857421875,152.35769653320312,184.59820556640625,4960118,4992457,6048914,192,199,216,72,70,108,156.0,156.0,189.0,121.54875766801419,0.9935224214137963,203
0.0,Cockroach,ctrl,2,0ng_Cockroach_ctrl_img02.png,resized/0ng_Cockroach_ctrl_img02.png,0,147.4356689453125,147.92813110351562,182.22378540039062,4831172,4847309,5971109,196,204,217,77,73,108,148.0,148.0,184.0,114.69585004759337,0.9966709296521198,207
4.0,DerP,test,7,4ng_DerP_test_img07.png,resized/4ng_DerP_test_img07.png,4,188.4591064453125,193.60964965820312,201.24002075195312,6175428,6344201,6594233,207,213,217,112,112,130,193.0,199.0,205.0,58.97510557012363,0.9733972754179318,214
0.0,DerF,ctrl,4,0ng_DerF_ctrl_img04.png,resized/0ng_DerF_ctrl_img04.png,0,175.3643798828125,175.94903564453125,191.12954711914062,5746340,5765498,6262933,202,210,213,108,98,127,181.0,182.0,196.0,109.88805206731097,0.9966771243942647,210
1.0,DerP,ctrl,7,1ng_DerP_ctrl_img07.png,resized/1ng_DerP_ctrl_img07.png,2,152.1597900390625,152.66665649414062,180.5736083984375,4985972,5002581,5917036,193,196,209,73,72,105,158.0,158.0,185.0,114.59988959415452,0.9966799073000103,199
2.0,Cockroach,test,3,2ng_Cockroach_test_img03.png,resized/2ng_Cockroach_test_img03.png,3,175.88729858398438,179.23593139648438,194.374267578125,5763475,5873203,6369256,204,211,213,97,96,121,181.0,185.0,199.0,79.82706223924129,0.9813171735838517,210
2.0,Cockroach,test,2,2ng_Cockroach_test_img02.png,resized/2ng_Cockroach_test_img02.png,3,184.39642333984375,190.32620239257812,201.95513916015625,6042302,6236609,6617666,208,217,221,119,116,138,189.0,195.0,206.0,66.83364227681857,0.9688441215816024,217
1.0,DerP,ctrl,6,1ng_DerP_ctrl_img06.png,resized/1ng_DerP_ctrl_img06.png,2,150.5672607421875,145.32546997070312,178.81698608398438,4933788,4762025,5859475,191,189,208,68,62,100,156.0,151.0,184.0,60.32937310783745,1.0360693121203859,194
0.0,DerF,ctrl,5,0ng_DerF_ctrl_img05.png,resized/0ng_DerF_ctrl_img05.png,0,151.10702514648438,148.39974975585938,177.78585815429688,4951475,4862763,5825687,194,193,210,73,67,102,157.0,155.0,184.0,97.77722249139458,1.018243119525712,197
0.1,Cockroach,ctrl,1,0.1ng_Cockroach_ctrl_img01.png,resized/0.1ng_Cockroach_ctrl_img01.png,1,151.95584106445312,153.75112915039062,188.29400634765625,4979289,5038117,6170018,213,219,233,79,75,118,155.0,157.0,193.0,117.40801988368305,0.9883234088479126,222
20.0,DerP,ctrl,6,20ng_DerP_ctrl_img06.png,resized/20ng_DerP_ctrl_img06.png,8,164.39291381835938,164.80477905273438,185.34271240234375,5386827,5400323,6073310,195,199,207,93,84,118,168.0,169.0,188.0,99.85982935672159,0.9975008841719081,200
